g,r,i,z,y_true,y_argus,y_attnnet
18.65741332391507,17.948464206918366,17.609296998538422,17.397495889675895,0,0.0006039683357812464,0.0007245425949804485
21.054007823832595,19.829822567953364,19.379598730449715,19.068251345465505,0,0.9998424053192139,0.9994530081748962
20.18210862980552,19.168404889189787,18.72548021003424,18.470837743445514,0,0.999976634979248,0.9997116923332214
17.23511050047228,16.765301272218437,16.545276107855102,16.360011842430595,0,0.9999899864196777,0.820166826248169
19.639246320411743,18.85606448044042,18.55925462749021,18.40402833372359,0,0.11282217502593994,0.018200160935521126
18.71607761612213,17.845310243401478,17.467726601099272,17.2402254406326,0,0.0042332676239311695,0.02429663948714733
20.10654515601456,19.09254556173387,18.703356895906644,18.443915047316757,0,0.9997720122337341,0.9183782339096069
19.902153285331238,19.359073234819334,18.779212035479592,18.442246322452092,0,0.9990359544754028,0.9029335975646973
19.88613790553564,18.83554513297547,18.284959677265732,17.994262151689544,0,0.7595760822296143,0.0017614217940717936
21.175442286623777,19.55588719509406,18.751733883759556,18.309968058017887,0,0.9571174383163452,0.1605028212070465
18.3068615883818,18.435625365730605,18.514324073497928,18.59183300958606,0,0.9999980926513672,0.9999877214431763
20.15946252098767,19.530635151319622,19.279161623700297,19.11831738367857,0,0.9999979734420776,0.9999736547470093
20.892707749853408,19.825170483288666,19.31642654020365,18.871607544499142,0,0.983244776725769,0.02390030212700367
21.241134959031598,20.256517266110215,19.970466794806093,19.598544109393146,0,0.9397302269935608,0.19480672478675842
19.94092756139647,18.679836810432672,18.233105727407736,17.94522370303019,0,0.9836348295211792,0.8163953423500061
21.22928985769648,19.830910604888892,18.594838627835344,18.05812725877267,0,0.2910535931587219,5.465938738780096e-05
24.196130194464256,22.284296312042656,19.75062765182632,18.56405528407535,0,0.4182682931423187,0.7555007934570312
inf,20.610561592245077,19.168389214090368,18.5107931259597,0,3.38425752488547e-06,6.733992631779984e-05
inf,17.61994458085145,inf,17.450395655417292,0,0.6087204217910767,0.9999496936798096
17.61390921164734,17.735627793390556,17.907063795946648,17.80018574227888,0,9.549328387947753e-05,0.1657608449459076
18.839908254588558,17.860625301093247,17.465183498704512,17.212710766565337,0,0.999962568283081,0.13068167865276337
21.672281805703676,20.20201865640609,18.802160313905162,18.195962472058437,0,0.0002485299191903323,0.00015815155347809196
17.272060728966046,16.704204941725507,16.47369945664728,16.29686058840197,0,0.9999974966049194,0.9998791217803955
21.175619717130317,19.61952131520978,18.435526978010053,17.922437952666396,0,1.653766776144039e-05,3.667683995445259e-05
19.23187232966804,inf,inf,17.945353833091765,0,4.01944680561428e-06,0.15991470217704773
21.73208840900842,21.249718247690367,20.65243669138705,20.07821840013676,0,3.50753157363215e-06,6.99485681252554e-05
20.84560273638769,20.644986552092053,20.233168336193547,20.153571212449748,0,0.9999979734420776,0.9999849796295166
19.32014324465331,18.780391751216566,18.399484916125996,18.328915898159146,0,0.9999980926513672,0.9999868869781494
20.448595960079714,18.974073128503743,17.605740245631548,16.998774492824168,0,6.558826044056332e-06,0.00023321031767409295
21.82823498838624,20.314650818919503,19.031159348446653,18.460225205045404,0,0.9910160303115845,0.9993183612823486
17.2781482784472,16.55878929191533,16.27455602058603,16.01581767365569,0,0.9999812841415405,0.8577219247817993
20.166674949476125,19.52040512507863,19.31165737945343,19.140541537644992,0,0.9999959468841553,0.7148231267929077
